RequestStartTime,ResponseTimestamp,Latency
1719908169007,1719908169007,657
RequestStartTime,ResponseTimestamp,Latency
1719908169519,1719908169519,567
RequestStartTime,ResponseTimestamp,Latency
1719908170020,1719908170020,767
RequestStartTime,ResponseTimestamp,Latency
1719908170509,1719908170509,572
RequestStartTime,ResponseTimestamp,Latency
1719908171008,1719908171008,804
RequestStartTime,ResponseTimestamp,Latency
1719908171507,1719908171507,581
RequestStartTime,ResponseTimestamp,Latency
1719908172008,1719908172008,1026
RequestStartTime,ResponseTimestamp,Latency
1719908172510,1719908172510,1137
RequestStartTime,ResponseTimestamp,Latency
1719908173009,1719908173009,659
RequestStartTime,ResponseTimestamp,Latency
1719908173508,1719908173508,570
RequestStartTime,ResponseTimestamp,Latency
1719908174007,1719908174007,1154
RequestStartTime,ResponseTimestamp,Latency
1719908174509,1719908174509,848
RequestStartTime,ResponseTimestamp,Latency
1719908175157,1719908175157,340
RequestStartTime,ResponseTimestamp,Latency
1719908175256,1719908175256,297
RequestStartTime,ResponseTimestamp,Latency
1719908175011,1719908175011,970
RequestStartTime,ResponseTimestamp,Latency
1719908175510,1719908175510,704
RequestStartTime,ResponseTimestamp,Latency
1719908175957,1719908175957,291
RequestStartTime,ResponseTimestamp,Latency
1719908176250,1719908176250,271
RequestStartTime,ResponseTimestamp,Latency
1719908176011,1719908176011,521
RequestStartTime,ResponseTimestamp,Latency
1719908176510,1719908176510,511
RequestStartTime,ResponseTimestamp,Latency
1719908176982,1719908176982,311
RequestStartTime,ResponseTimestamp,Latency
1719908177260,1719908177260,288
RequestStartTime,ResponseTimestamp,Latency
1719908177009,1719908177009,557
RequestStartTime,ResponseTimestamp,Latency
1719908177509,1719908177509,739
RequestStartTime,ResponseTimestamp,Latency
1719908178204,1719908178204,310
RequestStartTime,ResponseTimestamp,Latency
1719908178009,1719908178009,551
RequestStartTime,ResponseTimestamp,Latency
1719908178816,1719908178816,269
RequestStartTime,ResponseTimestamp,Latency
1719908178839,1719908178839,268
RequestStartTime,ResponseTimestamp,Latency
1719908178509,1719908178509,620
RequestStartTime,ResponseTimestamp,Latency
1719908179250,1719908179250,448
RequestStartTime,ResponseTimestamp,Latency
1719908180333,1719908180333,352
RequestStartTime,ResponseTimestamp,Latency
1719908180528,1719908180528,322
RequestStartTime,ResponseTimestamp,Latency
1719908180668,1719908180668,464
RequestStartTime,ResponseTimestamp,Latency
1719908180725,1719908180725,407
RequestStartTime,ResponseTimestamp,Latency
1719908181152,1719908181152,276
RequestStartTime,ResponseTimestamp,Latency
1719908181419,1719908181419,307
RequestStartTime,ResponseTimestamp,Latency
1719908181703,1719908181703,351
RequestStartTime,ResponseTimestamp,Latency
1719908181691,1719908181691,363
RequestStartTime,ResponseTimestamp,Latency
1719908181389,1719908181389,853
RequestStartTime,ResponseTimestamp,Latency
1719908182192,1719908182192,282
RequestStartTime,ResponseTimestamp,Latency
1719908182465,1719908182465,296
RequestStartTime,ResponseTimestamp,Latency
1719908182717,1719908182717,306
RequestStartTime,ResponseTimestamp,Latency
1719908182736,1719908182736,294
RequestStartTime,ResponseTimestamp,Latency
1719908183417,1719908183417,303
RequestStartTime,ResponseTimestamp,Latency
1719908183730,1719908183730,371
RequestStartTime,ResponseTimestamp,Latency
1719908183683,1719908183683,418
RequestStartTime,ResponseTimestamp,Latency
1719908184277,1719908184277,265
RequestStartTime,ResponseTimestamp,Latency
1719908184255,1719908184255,301
RequestStartTime,ResponseTimestamp,Latency
1719908184298,1719908184298,274
RequestStartTime,ResponseTimestamp,Latency
1719908184868,1719908184868,790
RequestStartTime,ResponseTimestamp,Latency
1719908185855,1719908185855,396
RequestStartTime,ResponseTimestamp,Latency
1719908186018,1719908186018,428
RequestStartTime,ResponseTimestamp,Latency
1719908186301,1719908186301,318
RequestStartTime,ResponseTimestamp,Latency
1719908186301,1719908186301,318
RequestStartTime,ResponseTimestamp,Latency
1719908186597,1719908186597,574
RequestStartTime,ResponseTimestamp,Latency
1719908186896,1719908186896,303
